,id,created_time,text
0,1.22302E+18,2020-01-30 23:16:31+00:00,"@sjcandelaria408 @biggdoggwisc @EliseStefanik Yeah lowest unemployment in 50 years. Lowest black/Hispanic unemployment EVER! LOWEST UNEMPLOYMENT FOR WOMEN IN 60 YEARS! 70,000 jobs added since he took office!"
1,1.22302E+18,2020-01-30 23:09:12+00:00,@realDonaldTrump Forget about the water crisis in Flint. Also high unemployment rate murders homelessness. They r building cars.
2,1.22302E+18,2020-01-30 23:01:07+00:00,"@RepAdamSchiff @robreiner            Trump has supposedly done and the economy and the unemployment and the tax cuts. Etc. well, a lot of serial killers are great parents, good friends and Boy Sout Leaders so should they get away with murder???"
3,1.223E+18,2020-01-30 21:55:15+00:00,@Gialde @Caligul48667558 @sportsf04381233 @jemelehill @dawgfan1979 @Kall_tyrone @iheartmindy Or she started her own...🤷🏽‍♂️...just a thought. But i also didn't know telling someone I QUIT was the same as them telling you YOU'RE FIRED. Imagine the unemployment line if u got paid for quitting instead of being fired or laid off. Another thought...
4,1.223E+18,2020-01-30 21:40:40+00:00,They need to shutdown CT unemployment
5,1.22299E+18,2020-01-30 21:24:26+00:00,"@NBCNews @CNN  Questions for managers: Is it your opinion that it’s OK for a president to commit impeachable offenses as long as the economy is great, the unemployment is low, 401ks are high, etc etc. Are you saying that integrity only matters in a bad economy?"
6,1.22299E+18,2020-01-30 20:58:25+00:00,"@realDonaldTrump @POTUS PRESIDENT TRUMP I am 71 and have been following you since you took office. I dont give a damn about all this crap all I know is you have kept my country safe and given us  a whole new outlook. Our economy is up, our unemployment is down, stopped immigrants from coming in"
7,1.22298E+18,2020-01-30 20:33:12+00:00,@ABC Kentucky has 2 senators that need to hit the unemployment line ASAP
8,1.22298E+18,2020-01-30 20:12:34+00:00,What does Trumps approval rate (it’s still under 50% nothing to crow about) &amp; unemployment rate have to do with the question of Trump’s corrupt actions to further his own political career. This idea that if he’s “successful” then anything goes is #AntiAmerican #ImpeachmentTrial
9,1.22297E+18,2020-01-30 20:08:40+00:00,"“Housing costs are the primary reason that California’s poverty rate, 18.2 percent, is the highest of any state when adjusted for its cost of living, despite a thriving economy that has led to strong income growth and record-low unemployment.” https://t.co/CqoMftIPps"
10,1.22297E+18,2020-01-30 19:48:20+00:00,Unemployment (and economic prosperity) is based on what the people did before him - if you ever took a macroeconomics class you would know this... https://t.co/j8g27y3EDr
11,1.22297E+18,2020-01-30 19:36:00+00:00,"@jenniferboeder You call this living?😅I went over a year w/o insurance bc Cobra was more than my unemployment. The ACA is better, but still not affordable. A slight income increase put us over the cutoff &amp; our premium went from $900 to $1689! Means testing sucks &amp; no other country does this."
12,1.22297E+18,2020-01-30 19:29:40+00:00,"Shouldn’t be a surprise that Trump’s new Super Bowl ad touts the booming economy.

It’s an issue he’s winning in the polls.

56% approve of his handling of the economy, up 10 points since early September to a career high. 

More via @ABC News:

https://t.co/p9B4T2jFQz"
13,1.22296E+18,2020-01-30 19:13:45+00:00,@JRubinBlogger And you have privin ti be a jackass.  You gambled and lost. Wtite a book that will help with the unemployment. You are done. Libs will care less about you after the election.
14,1.22296E+18,2020-01-30 19:00:24+00:00,It took two whole weeks of unemployment by my sleep schedule has officially been undone lmao
