,id,created_time,text
0,1212861775374254080,2020-01-02 22:22:35+00:00,Or you file for unemployment...just a thought https://t.co/FUw0cm3CzU
1,1212843727070187520,2020-01-02 21:10:52+00:00,"What agenda is President Trump/GOP running on?
less reg
Less taxes
Low unemployment
Higher wages
Better trade deals
Protecting our sovereignty
MOSSA:Make Our Streets Safe Again
Strong military
Pro-choice
Better trade deals
Tougher on violent criminals
All reasons to vote red"
2,1212839591348260865,2020-01-02 20:54:26+00:00,You get a job and start missing unemployment😪💔. Life is hard.
3,1212833480003878917,2020-01-02 20:30:09+00:00,"@Hikaabuu I got my classes for this sem but they're scattered in the midday, plus I'm still in unemployment purgatory; w;

You got this, cause I know you're strong ^^"
4,1212833235119562752,2020-01-02 20:29:11+00:00,"@WolvesCompany @MarcelynJandre1 @airapostle8 @DebbieGetz_NJ @FLOTUS That is why unemployment is down! U must work 2&amp;3 P/T jobs! No one hires full time,Small businesses can't afford benefits .We have to work 50-60 hours a week just to pay rent!This GREAT economy is a farce! Walmart &amp; Target have become the clothiers of the USA. It’s disgusting!"
5,1212824051749675008,2020-01-02 19:52:41+00:00,"@Robbin_Young @RealMattCouch @RealRonHoward 

Respectfully, Trump has proven the ""many in the entertainment industry"" wrong:

Maybe the economy, unemployment, First-Step, and investment in black communities does not mean anything to you, means the world to US."
6,1212823624865988614,2020-01-02 19:50:59+00:00,"The democrats have pushed the latest minority out of the democrat primary. 

Further evidence they are all talk, no action. 

Republican = results. 

@realDonaldTrump = 1.5 million women pulled out of poverty, lowest unemployment for blacks, Asians, Latinos. 

Republican = real https://t.co/mGMFP9FwdR"
7,1212823616976510982,2020-01-02 19:50:58+00:00,"@OhioDemocracy @ohiogop Is this how we take care of our seniors??

40 states &amp; the DC  do not offset any SS retirement benefits against unemployment benefits. Ohio is the only one of the 50 states that offsets 100% of Social Security benefits against state unemployment benefits."
8,1212813621333352454,2020-01-02 19:11:14+00:00,"Happy sipping my coffee, as everyone else goes to work, however my excitement, during this unemployment time @ home, is clouded by...my toddler...running amok 😑👦🏻 (*whispers* Go to sleep..😢🤪). Check Please! 😟 #thursdayvibes https://t.co/HDsTxIKNqP"
9,1212802180089954304,2020-01-02 18:25:47+00:00,Notice that he doesn't address the question. Totally subjective without recourse to objective stock market performance or minority unemployment record lows. https://t.co/CSg4vkq00L
10,1212802168534818816,2020-01-02 18:25:44+00:00,"@washingtonpost Oh, low taxes, low unemployment, protection of the Constitution, etc. are now bad things? Kiss my ass."
11,1212802071919038465,2020-01-02 18:25:21+00:00,"2019 was a weird year. I’ve had a lot of major shifts. From unemployment to data entry before returning to the senate to do policy work which I’ve always wanted to do. I’ve lost some friends, gained some new ones, and I’m still not happy but I’m a lot more self assured."
12,1212793593309650944,2020-01-02 17:51:39+00:00,"@mayawiley @robreiner Which will dim after the election.  Lowest unemployment in over 50 yrs.  industry returned to USA! Stock Market soaring threw the sky!MS13 being thrown out ofUSA,  pensions being saved along with401k!  Supporting the 2nd amendment! Lowered taxes 3 times, Democrats raised 3 times"
13,1212791126723186688,2020-01-02 17:41:51+00:00,How’s that unemployment/job creation thing going for y’all? https://t.co/rC3E2a1t47 https://t.co/ARJQGMgRmp
14,1212786422995795968,2020-01-02 17:23:10+00:00,Unemployment world https://t.co/FROqb0zqsH
