,id,created_time,text
0,1502796565596938246,2022-03-12 23:59:56+00:00,@chud_meridian @SpecialPuppy1 was extremely revealing about the demographics of the lib/left commentariat that the checks and not the expanded unemployment insurance were the thing that dominated discourse on here
1,1502796555987914757,2022-03-12 23:59:54+00:00,"RT @MuellerSheWrote: Why do we subsidize oil companies with our tax dollars if they’re raking in billions in profit, but I have to fill out…"
2,1502796549931388929,2022-03-12 23:59:52+00:00,"RT @vik8867dn: The commander of the plane of the Russian airline ""Victory"" announced to passengers a personal position on the war in Ukrain…"
3,1502796484127129603,2022-03-12 23:59:37+00:00,"RT @prasannavishy: Kerala economy in complete shambles with negative growth and staggering unemployment. To provide perspective,  Karnataka…"
4,1502796447770562562,2022-03-12 23:59:28+00:00,"RT @MuellerSheWrote: Why do we subsidize oil companies with our tax dollars if they’re raking in billions in profit, but I have to fill out…"
5,1502796385246187520,2022-03-12 23:59:13+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
6,1502796334474137602,2022-03-12 23:59:01+00:00,@haveaconcern mmm this is a lie but nice try trump had no cnflicts at all when he was president usa had the lowest unemployment in 50 years and the economy was booming - what has biden done
7,1502796333370908672,2022-03-12 23:59:01+00:00,"RT @MuellerSheWrote: Why do we subsidize oil companies with our tax dollars if they’re raking in billions in profit, but I have to fill out…"
8,1502796319076802561,2022-03-12 23:58:57+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
9,1502796219369803777,2022-03-12 23:58:33+00:00,"The kids were going on summer break soon so the schools closed early, and all the school bus drivers went on unemployment. https://t.co/u0x5G2tbfE"
10,1502796200537382915,2022-03-12 23:58:29+00:00,"RT @Miseryguts7: @WelshLabour @Keir_Starmer Define ""works"".

Labour in power means bankruptcy.
Labour in power means unemployment.
Labour i…"
11,1502796089501667330,2022-03-12 23:58:02+00:00,RT @threadsirish2: 15. ...and every American worker to unemployment. So powerful that a percentage of OpenAI’s (and its peers’) income coul…
12,1502796044303843329,2022-03-12 23:57:52+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
13,1502795997986050049,2022-03-12 23:57:41+00:00,RT @MrsMThatcher: We Conservatives hate unemployment. https://t.co/t7XMVZ5fDB
14,1502795975668256771,2022-03-12 23:57:35+00:00,@Iovejmns @sourstrapz What unemployment does to an individual:
15,1502795973998915587,2022-03-12 23:57:35+00:00,"RT @MuellerSheWrote: Why do we subsidize oil companies with our tax dollars if they’re raking in billions in profit, but I have to fill out…"
16,1502795864745684992,2022-03-12 23:57:09+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
17,1502795822680866816,2022-03-12 23:56:59+00:00,"@patriottakes No job, lazy, living off unemployment"
18,1502795739801473028,2022-03-12 23:56:39+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
19,1502795605801906177,2022-03-12 23:56:07+00:00,@LaylaMoran @LuisaPorritt @LibDems If unemployment stays low then there is very little chance of returning to the EU.
20,1502795470795681801,2022-03-12 23:55:35+00:00,"RT @Rothbard1776: Media in 2020: Trump is solely responsible for the highest unemployment rate and worst GDP since the Great Depression.

M…"
21,1502795398607523846,2022-03-12 23:55:18+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
22,1502795368060407808,2022-03-12 23:55:10+00:00,"@GOPChairwoman The Biden administration has a long list of metrics to make the case that the U.S. is enjoying the strongest economic recovery from Covid-19 in the world: low unemployment, higher wages, a record 6.4 million jobs created in 2021. https://t.co/aZTiO61Y1Q"
23,1502795364956471296,2022-03-12 23:55:10+00:00,"RT @northernck: Cdn #econ, Feb 2022:
337K new jobs
5.5% unemployment rate, lowest it’s been since Feb 2020
labour force is 1.9% (369,100) &gt;…"
24,1502795347864825857,2022-03-12 23:55:06+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
25,1502795310786961408,2022-03-12 23:54:57+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
26,1502795286510510089,2022-03-12 23:54:51+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
27,1502795209436024836,2022-03-12 23:54:33+00:00,"RT @BlackCatUnloads: When President Biden took office, over 18 million people were receiving unemployment benefits and today only 2 million…"
28,1502795177894694914,2022-03-12 23:54:25+00:00,RT @Rick62Klassen: @theToddHirsch Alberta has the highest unemployment rate west of New Brunswick while oil is at $100+… the UCP strategy o…
29,1502795161478254600,2022-03-12 23:54:21+00:00,"RT @MuellerSheWrote: Why do we subsidize oil companies with our tax dollars if they’re raking in billions in profit, but I have to fill out…"
30,1502795141005950977,2022-03-12 23:54:16+00:00,"RT @Rothbard1776: Media in 2020: Trump is solely responsible for the highest unemployment rate and worst GDP since the Great Depression.

M…"
31,1502795133846097923,2022-03-12 23:54:15+00:00,"RT @Rothbard1776: Media in 2020: Trump is solely responsible for the highest unemployment rate and worst GDP since the Great Depression.

M…"
32,1502795094474182657,2022-03-12 23:54:05+00:00,"RT @kim_siever: @UCPCaucus You think a drop in unemployment that is less than half a percentage point is a plummet?

Also, your government…"
33,1502795060093489157,2022-03-12 23:53:57+00:00,"RT @MuellerSheWrote: Why do we subsidize oil companies with our tax dollars if they’re raking in billions in profit, but I have to fill out…"
34,1502795053541978112,2022-03-12 23:53:56+00:00,"@ChristinaPushaw Commerce Sec. Raimondo, ""Our economy created 678,000 jobs in Feb 2022, &amp; unemployment ticked down to 3.8%. This follows the greatest yr of job growth in 🇺🇸US history &amp; the fastest economic growth in almost 40 yrs.""

7.4M jobs, w 423,000 jobs created in manufacturing. 
@FloridaGOP https://t.co/cuu0nuy0gA"
35,1502794953528815616,2022-03-12 23:53:32+00:00,RT @Rick62Klassen: @theToddHirsch Alberta has the highest unemployment rate west of New Brunswick while oil is at $100+… the UCP strategy o…
